Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G45,186.0578,209.9937,180.1291,226.075,205.817,210.5131,187.4395,180.1999,208.5726,195.0565,193.0225,176.5723,229.6049,204.0968,204.7459,197.7664,212.3364,219.6179,206.8242,208.919,184.5559,205.1991,199.9953,208.7352,231.3368,190.3434,200.4328,217.5155,225.0441,178.2532,197.989,237.3087,226.0248,220.7677,187.0517,168.9723,242.5293,213.1247,201.6579,169.5329,197.1849,206.9307,194.1054,226.9465,181.811,225.2138,230.4595,210.5761,223.7266,198.0,217.9666,228.9102,215.1418,201.8884,192.5527,203.6738,180.976,202.5277,181.294,223.0997,Environment_0
G46,186.9357,184.2694,215.338,170.7581,180.3279,224.3919,162.2533,199.3843,175.2686,199.7106,173.1483,200.2152,204.834,185.7568,195.3026,188.2247,200.0083,170.9189,208.5453,183.1545,189.5004,200.5363,183.9153,198.0121,178.2653,203.3874,183.8119,205.443,222.1469,179.7704,199.7941,207.9447,190.5333,183.2738,178.8806,258.814,208.44,190.4792,174.5796,203.0383,179.0909,201.7714,147.8632,197.4552,184.4487,192.3982,183.8974,205.6789,161.0884,180.7284,178.0356,201.7756,181.1621,215.1983,173.5457,190.9098,183.0161,199.3625,185.5356,140.2917,Environment_0
G47,179.0897,196.6367,226.2701,216.1075,196.7773,211.3684,210.5731,198.6837,202.6172,219.6827,194.1845,202.5164,212.8686,214.1558,199.9825,187.4661,189.5871,181.8242,174.3451,199.9759,168.217,216.589,212.3863,185.1576,199.4158,201.0012,204.7189,227.0659,204.1166,218.6582,181.8223,205.094,230.7499,208.7416,183.332,165.0674,187.8599,233.1155,210.8098,225.5167,204.8892,186.451,212.7164,207.5556,228.4601,192.0756,230.2778,226.1101,204.5633,226.1982,206.0237,189.6334,183.1782,222.3791,214.6256,180.6316,221.7403,232.4562,165.8007,172.8274,Environment_0
G48,215.9232,249.4117,180.1587,188.9684,215.2457,202.1568,183.5949,200.5284,192.7592,217.8099,214.8626,211.457,186.0637,212.638,200.0589,227.8501,217.1046,184.292,199.5981,211.2892,167.2057,215.5045,195.9717,215.6927,207.6059,188.4684,203.9243,172.1369,205.5083,223.6298,176.4764,215.2868,198.2979,208.9867,202.4121,221.9476,201.1789,195.7832,227.9043,203.5693,194.5712,210.3155,190.486,211.6546,218.8367,210.6982,192.4744,211.9917,212.8053,203.3922,215.5868,210.3792,192.29,188.2223,222.0262,200.5296,199.2639,224.09,224.2829,226.2884,Environment_0
G49,218.3305,198.1723,208.7767,189.4963,167.025,186.3282,215.4741,211.9039,183.7922,216.7423,197.7386,218.3507,194.2228,222.0341,175.0341,195.8551,206.4612,197.0424,180.5723,197.2798,213.8452,206.5039,190.1934,217.0718,212.3526,196.7988,196.8989,232.047,201.5988,217.8475,169.8844,178.1143,196.6153,241.4816,179.6604,196.9038,176.2437,172.0372,194.5237,193.4854,200.1142,213.8537,156.077,205.5222,203.0976,209.1327,183.4592,218.0938,195.0063,219.0323,215.5449,163.6371,191.4587,203.4057,194.648,175.022,175.043,172.4187,217.3021,198.9827,Environment_0
G50,161.8022,158.3945,197.3346,198.6617,241.0403,201.1996,208.9469,208.0908,218.2435,203.6717,219.4993,213.7627,205.2859,209.2466,188.7558,208.0836,191.4609,199.4736,190.9694,193.2872,198.5251,186.6441,218.0184,176.5625,185.9038,210.887,212.0536,220.094,173.5479,225.2044,228.3958,215.3833,184.2219,172.3032,207.8377,213.9991,199.453,191.1291,199.199,224.9248,221.3323,205.7647,219.7617,223.8923,229.1294,229.2339,198.3024,210.4309,220.0916,189.26,216.3156,192.5725,186.17,180.1273,180.2754,210.3652,178.9424,205.6487,196.7969,190.6537,Environment_0
G51,188.487,183.0112,197.5835,232.8282,218.6117,191.5064,196.5859,157.2896,198.9036,179.1961,191.9183,188.6955,211.6979,156.9822,202.9954,159.7994,165.453,222.8459,190.1782,193.682,179.0869,234.5337,218.364,164.7173,186.3151,211.2261,223.1248,204.6587,215.8504,168.2602,186.4057,173.106,189.0351,184.4452,193.898,196.131,220.8371,199.4108,175.2701,207.0613,195.6507,203.3898,171.0913,201.886,189.6347,216.7866,193.7192,185.1547,155.9838,190.4873,174.9078,203.5667,208.4162,148.8045,213.7529,181.8137,203.0734,185.3371,205.744,187.0118,Environment_0
G52,200.7672,190.0256,209.3998,200.2682,217.2273,211.0816,221.1399,197.9124,196.7119,177.8236,207.5547,163.95,201.1149,189.2175,217.7014,225.1338,202.0805,207.9477,237.1416,178.4292,165.6911,199.1313,190.9801,208.1598,194.1254,189.9624,225.3045,213.0122,209.3227,218.2296,237.7516,234.9704,177.3455,191.2116,190.6446,174.0936,201.2514,197.6928,199.9949,223.3412,220.0883,216.904,206.6839,232.1585,194.7456,198.7707,184.449,192.9917,205.0488,212.5675,199.0683,176.6866,211.5075,206.6039,236.2444,204.3954,197.4923,183.1185,183.1251,216.2839,Environment_0
G53,223.3706,157.3864,167.7345,216.4647,183.2968,198.3204,202.0528,209.162,198.0241,233.025,220.6192,210.6371,196.1463,201.8807,205.9299,206.9417,178.8926,182.6755,203.3305,218.8712,194.0139,176.5451,213.4134,193.8322,212.3216,205.1227,180.0638,201.7904,234.9497,214.9979,220.9438,212.9093,201.1527,191.4137,196.8108,176.7794,206.3959,195.4063,205.3653,232.571,221.5734,196.0844,210.4641,225.2412,234.5333,199.6884,195.9395,202.668,178.5216,192.838,231.4893,200.4638,212.1446,209.9546,188.7868,240.6157,187.571,193.0554,188.1249,224.8968,Environment_0
G54,202.548,201.0539,191.1573,219.3067,213.1826,154.3052,178.7884,197.8597,200.476,182.9562,183.6441,162.4434,184.7802,228.1126,183.8681,204.2423,186.4753,198.9586,180.5698,204.4202,188.8632,203.5806,191.337,201.9797,167.8975,181.5966,182.0829,181.7776,168.8195,163.2514,197.5627,205.3391,189.7769,211.2627,170.8309,157.7438,196.958,199.7629,189.4049,180.1453,196.3692,223.4348,227.5232,216.7874,192.7135,205.53,148.6105,178.2737,188.7531,198.521,197.1747,166.4148,179.3849,193.0587,209.9089,148.0649,156.8284,180.1856,188.9317,187.9472,Environment_0
G55,217.2128,201.6983,219.4607,187.4239,233.3818,209.5591,214.7672,211.7633,219.1154,240.0648,226.0429,203.7923,222.8933,157.5407,219.8048,175.3498,217.3041,250.2937,223.6031,186.5401,230.576,196.8988,220.6416,177.3683,229.137,225.2928,221.197,218.5829,192.2118,240.9649,207.8306,169.2423,183.463,173.0097,184.5451,187.9668,177.4166,224.1047,220.3109,227.1479,185.852,203.2938,212.9075,206.0512,200.8804,215.007,213.6636,220.1528,219.7678,215.1179,213.4328,206.3916,195.7626,170.9431,190.9696,209.5169,212.6873,172.3182,211.7034,200.3648,Environment_0
G56,188.2372,206.7998,217.3417,207.1545,184.3409,228.229,219.9055,176.9985,236.4971,219.2088,219.3051,198.4473,214.4219,186.5821,172.9202,219.0112,199.6537,219.1184,212.8056,207.7482,200.1731,206.4235,201.3962,229.1929,202.1937,212.3551,223.7029,226.0395,217.6675,214.7046,188.0113,205.4722,234.1504,247.1914,214.7041,217.9226,190.6945,228.5346,183.9346,217.0134,241.342,213.8678,218.4346,214.5388,208.1879,219.4048,239.6495,242.0239,237.0852,200.3476,205.9095,237.3426,233.372,200.527,234.9254,249.3826,213.7801,198.539,204.3741,224.8489,Environment_0
G57,186.7023,195.0835,216.4889,207.4378,174.5535,205.4798,213.7235,170.5713,194.0993,212.5351,186.3525,212.9821,167.4547,222.476,196.5435,179.9366,198.6369,174.3875,178.6934,210.9546,191.5412,201.5207,189.3438,182.8511,160.7864,198.09,222.2828,187.1877,185.4108,168.5119,215.2878,205.1698,206.8665,205.6237,169.6891,235.6685,166.4237,232.5809,157.0367,214.2601,232.69,218.3178,220.2559,200.3093,170.2113,190.4771,182.9348,192.1395,185.4487,181.6737,227.8409,202.6515,229.7979,178.9924,213.7687,217.509,210.4855,195.212,190.3549,196.3056,Environment_0
G58,210.6999,223.9623,198.334,195.1658,177.2147,181.5205,206.6299,183.1296,217.1402,209.2537,211.6905,185.1435,210.4259,197.5953,188.9111,205.9403,187.4275,174.8595,201.9696,200.6985,168.1847,212.8867,220.3399,204.7362,193.405,240.0253,189.3155,208.6637,197.7292,205.726,215.1251,195.9012,184.295,212.245,201.868,179.5222,177.5674,216.5436,162.5842,198.3847,217.7432,206.3032,206.0629,231.5816,205.5621,209.3962,175.1934,173.9829,223.5534,192.0061,199.9574,202.1057,238.3656,229.5272,233.8719,203.838,189.5065,192.7096,189.5971,196.1322,Environment_0
G59,193.2035,188.1939,208.0608,165.1596,229.4834,192.7947,182.0659,186.9109,179.1264,156.2376,179.8031,200.9755,187.591,185.8258,222.1284,176.2109,196.9388,157.251,199.1617,198.3366,175.3549,188.1379,214.7112,225.7952,168.8541,184.8367,165.435,223.9641,215.6495,219.6258,216.5922,203.1045,166.9904,188.8008,203.0394,187.4602,190.2178,222.2574,186.1516,180.7973,171.8091,199.4496,203.912,191.6195,217.673,165.0538,205.1309,185.8781,181.2667,179.1103,204.2881,197.27,203.0441,198.7347,183.824,176.0084,192.3618,195.0888,224.1422,192.4301,Environment_0
G60,206.7494,205.864,203.6044,220.6219,188.3604,220.6529,211.1371,190.5591,184.0233,226.469,224.3097,161.9386,180.1161,183.0335,178.297,202.0934,227.4637,227.7233,206.354,212.089,193.749,196.6426,211.8873,216.7946,184.5931,226.7562,209.588,193.3497,234.7779,209.1044,206.7161,184.6347,193.7205,207.599,187.0314,213.7084,189.4087,216.0107,196.5942,183.1539,181.9984,219.3623,237.7166,195.5898,187.3086,176.1055,175.5506,193.1107,193.0306,175.0504,220.0734,206.6327,205.4329,186.0975,199.2115,224.3577,207.4676,169.3356,194.8028,211.0256,Environment_0
G61,207.9513,188.043,201.9311,240.4371,254.5294,188.7709,216.4158,189.8315,206.0712,220.2945,213.327,237.1434,234.9682,188.2082,216.7611,244.4448,211.7573,196.9414,212.4001,214.666,200.8881,202.9925,204.2882,219.8185,204.2373,217.1627,205.3306,178.226,213.5323,207.4366,227.9114,197.775,208.2346,218.9424,205.5436,194.9793,233.7403,222.9665,217.0862,236.7423,218.7023,199.05,195.6725,203.6047,222.1016,204.303,207.1048,228.2154,249.3048,174.8349,221.5504,233.4828,190.4786,200.5107,204.7863,236.6916,217.3046,222.7041,224.7093,176.9471,Environment_0
G62,237.4441,218.9039,215.3186,229.8212,221.2563,177.5,207.7209,179.0534,196.7901,170.0363,191.4611,204.9183,207.1191,201.2419,165.8303,192.7479,207.541,175.0721,228.5811,200.9221,221.5389,162.1288,170.3018,199.2554,189.6664,177.489,207.2852,221.5522,175.9885,197.1677,158.3613,199.1166,214.2577,210.5807,189.6311,227.3073,209.123,197.5934,198.927,201.98,202.6808,216.4223,200.2636,167.0975,196.5893,196.7536,211.0215,206.887,198.3294,197.2907,176.5209,199.188,218.898,209.8582,186.4077,165.1168,207.7526,189.4751,216.2839,240.5699,Environment_0
G63,221.2607,223.3271,202.6465,180.1949,225.8445,241.3413,195.0898,229.4206,175.8385,193.3383,204.7159,229.2847,224.4276,210.1903,235.4446,207.2632,232.7258,196.9149,181.4518,198.6904,214.7425,182.688,226.7055,196.5649,182.084,214.9975,221.7545,249.1094,203.1037,248.7864,221.0289,241.881,202.4413,213.1978,204.3266,245.9706,212.4349,176.6801,211.6099,209.1518,202.0825,191.6987,202.3147,210.792,238.5716,209.1898,205.7225,220.1377,184.3558,189.0912,233.64,229.2516,198.9961,213.6794,232.5928,254.6743,201.8446,204.9054,213.6555,217.4502,Environment_0
G64,164.7289,185.8338,154.8187,189.074,204.8012,192.3859,193.4232,190.2406,224.7473,207.7611,148.825,212.7484,193.7614,199.9757,191.3197,172.0144,185.8703,191.4601,175.8075,157.3765,184.6674,190.8199,191.2454,175.0936,172.5877,160.6005,177.8482,194.0356,202.474,163.7277,146.2929,194.1679,188.6809,193.4389,179.2907,195.9827,191.6762,175.8571,215.8561,213.4874,154.6196,180.4541,188.9052,162.6409,175.0881,213.9635,187.7413,183.6643,227.6946,192.1704,205.312,180.9319,164.478,190.2485,204.8829,148.143,176.6546,228.0761,181.056,206.8832,Environment_0
G65,187.8416,201.8649,194.6338,182.3541,184.9412,210.902,176.0497,219.2813,211.4799,189.2893,167.9387,202.4567,190.346,187.5841,200.4481,200.354,195.5063,171.9743,188.9369,186.883,215.8773,177.1747,197.0524,176.3406,215.7303,190.1635,178.5976,165.579,197.2774,193.4513,183.912,228.816,208.8059,186.9872,199.1537,204.561,219.7763,191.6755,244.6492,197.5938,202.7718,205.7525,171.3504,178.697,180.2556,182.9971,220.1558,214.6495,200.4481,194.5643,180.4125,229.4858,186.7989,213.5206,196.7001,207.083,219.1733,215.0251,184.5892,223.3506,Environment_0
G66,216.2163,177.6537,171.6795,190.7268,189.2446,196.6045,200.7708,166.6418,214.7408,195.049,203.6868,198.0892,179.9997,199.5406,159.7586,201.0108,195.6182,213.2572,180.4182,194.9097,213.836,179.0141,206.7602,181.8114,218.2592,176.3824,176.2864,164.7136,217.7155,190.8504,197.999,193.5303,175.8093,184.7409,202.432,187.0175,192.6219,196.2712,182.499,177.4703,175.9624,186.6929,221.3681,192.2585,202.037,183.8039,180.5089,170.4242,183.1517,207.596,177.6947,196.2137,243.4124,216.8367,196.8475,198.4176,222.652,185.1308,187.6643,205.7083,Environment_0
G67,205.8383,203.5698,206.2615,177.9731,208.968,149.9911,208.0108,182.6018,227.1157,190.5474,210.5493,196.523,236.943,216.6857,178.6284,220.798,176.6613,204.7495,213.5078,221.6212,197.3445,203.5681,196.8544,208.0022,208.6041,212.8645,225.5478,203.9841,222.2031,230.7565,215.8103,243.6346,168.3182,186.9809,216.5698,173.2807,212.4867,226.5654,178.5892,195.3486,202.3439,213.1947,184.0566,198.5453,187.8202,199.4855,182.2157,206.834,185.8314,216.355,200.3949,213.1526,210.4609,200.53,213.9967,197.9854,198.5404,177.3114,215.3768,207.9654,Environment_0
G68,193.7386,226.2433,220.6108,218.3678,201.535,232.9463,210.8007,218.2569,230.3745,207.8067,224.5681,239.6771,194.9569,224.4549,249.673,198.2067,235.3474,191.2624,177.6073,174.5138,192.2714,178.1648,201.5149,199.718,183.4453,184.2311,197.1968,199.2936,221.6395,227.8112,191.4821,212.4984,204.998,198.0574,199.7381,217.2266,183.6061,208.178,208.6748,216.6935,219.7132,211.9857,194.8228,204.9053,210.4167,207.2571,208.2605,217.2943,221.0014,211.3894,209.8826,209.5123,207.7749,218.2271,199.2302,219.4709,233.6583,200.4725,194.5271,222.635,Environment_0
G69,209.5236,205.467,188.1492,179.5278,167.9009,158.7967,175.163,218.4908,209.554,200.0704,176.3194,201.3223,205.2361,193.2061,188.9893,177.2116,198.5432,180.3449,197.2118,172.4968,224.9228,211.8507,167.5127,192.3889,198.5302,245.8233,214.9902,207.5773,183.0441,212.4525,168.8021,221.3892,184.226,165.6674,224.7371,208.4057,196.2856,207.5517,207.6684,195.5062,218.8012,171.0776,207.9092,181.7099,184.1574,164.0139,200.6402,203.8274,204.7959,178.8465,172.0234,182.5573,217.903,172.7433,232.2811,190.1749,172.327,204.5222,229.4524,204.6005,Environment_0
G70,240.4697,181.646,240.6287,218.243,242.1717,240.234,225.506,218.2402,206.1601,227.247,229.5724,206.3753,218.0377,216.1071,236.7967,228.8421,231.8555,229.3175,199.4987,233.4642,222.9717,257.8063,220.1105,215.4809,242.8019,220.9187,213.2828,207.9723,229.0106,212.9705,208.3272,225.3411,229.4856,226.4175,233.0096,217.0611,213.6792,234.3661,273.9977,237.581,232.3902,211.692,227.3613,217.6339,214.6373,213.5368,255.5591,194.448,187.5855,251.6244,254.2522,234.8556,246.8054,219.4346,243.1222,193.172,222.5119,226.1106,222.7189,247.9578,Environment_0
G71,215.131,219.3545,222.7049,263.8024,206.6978,231.8993,212.6827,215.9223,229.7361,229.7449,213.1489,223.5277,186.7883,199.4387,240.9443,239.7757,209.6093,210.8542,204.8434,212.0104,182.8748,237.5311,203.4995,197.7053,228.4265,189.8097,194.0211,225.6726,183.2754,216.7809,211.2401,232.8087,182.845,170.7536,221.7878,200.213,230.3683,213.7204,197.1793,191.2033,212.8654,227.9004,213.5333,180.9367,204.8525,201.9328,216.3256,197.4045,202.1419,215.0043,204.5399,202.4598,175.2694,231.1146,216.1007,208.4844,222.2912,194.635,214.3908,246.7765,Environment_0
G72,195.5344,233.4348,186.6881,238.3389,222.7169,178.7531,210.4544,162.9431,165.2197,215.1135,207.622,213.1402,151.5963,172.0486,198.4754,172.977,212.1295,152.0254,191.3831,209.25,218.9589,232.7153,208.2612,177.047,212.1933,228.1936,210.7473,200.557,194.7486,217.3047,183.1255,183.0468,188.7681,206.8892,200.7065,222.8723,184.577,209.2248,162.6067,222.6888,186.3892,203.8182,211.8762,216.7099,177.6909,191.6604,199.2053,203.0546,220.6756,208.5501,228.6841,172.4833,172.75,188.4476,174.1231,173.7214,172.5413,197.1832,206.2875,188.1235,Environment_0
G73,189.3735,222.451,229.9398,212.4261,174.0871,217.8906,190.864,207.1187,252.1795,226.7492,219.4333,184.3233,216.5927,213.2866,250.449,211.5579,201.9945,202.588,231.3513,184.8987,231.26,186.2654,173.8262,208.7992,213.2052,173.9504,239.4852,211.8103,195.0155,230.1629,188.9112,222.8665,197.7313,209.0628,206.4611,198.1782,170.9809,187.0929,202.7329,201.9778,202.5705,184.4998,192.1528,204.9647,227.2845,189.5326,218.9215,199.6264,197.726,208.5656,204.594,201.3127,216.6449,205.3669,208.0294,207.9035,219.0755,181.724,204.5751,186.1345,Environment_0
G74,184.3222,189.5229,179.9973,190.6615,191.9482,182.1409,140.9281,203.9571,188.1899,164.3337,221.5083,231.2968,181.387,215.2727,192.4242,197.7493,191.3278,195.2996,210.52,176.7451,187.7921,191.1758,207.7978,171.3876,179.5366,197.2543,195.9525,188.352,200.7456,191.5829,165.7538,197.3876,219.7441,193.7101,165.8122,169.6559,170.9772,213.2992,194.9528,183.7874,199.1739,202.3505,194.7997,205.8711,187.2836,220.3181,161.1356,193.688,178.0406,209.0551,188.7966,215.0093,178.077,180.7384,182.876,196.4629,190.3618,191.6361,186.7751,180.2203,Environment_0
G75,175.5842,198.7636,208.9625,178.2671,216.8262,193.5388,180.4706,234.5577,201.9822,178.8306,188.6457,203.2834,210.6234,180.7619,193.0332,196.2874,178.006,198.5375,166.5078,193.4179,199.7588,201.1285,191.4941,165.2871,196.6052,193.8169,195.6333,182.7284,167.9646,215.6798,220.9606,173.0595,168.7547,195.0524,214.2559,201.4101,176.394,176.4626,200.363,202.3129,200.5208,175.9819,180.354,165.8466,174.9398,205.5997,197.4405,189.7371,188.6015,179.2351,202.4307,182.8344,145.6476,189.1317,174.0153,185.6287,176.2067,209.6752,191.3699,217.5788,Environment_0
G76,246.6964,174.429,203.4123,178.4475,159.2271,188.6451,201.5165,184.0738,176.1818,178.3196,166.6686,202.3774,166.5894,201.6376,195.3593,190.6897,177.8753,165.9668,223.9501,193.3989,186.1331,184.8117,207.8452,186.2547,191.8469,211.3538,188.892,223.0204,183.7309,186.9308,214.5754,194.0033,159.7962,172.3227,170.9179,215.2196,236.1791,195.5295,206.851,204.2595,175.2692,189.355,174.8383,192.0632,182.0,188.8966,174.8588,188.1115,208.9834,178.1968,216.6814,243.1528,229.7655,218.0689,175.9577,197.5061,175.6951,177.1373,194.6607,199.6343,Environment_0
G77,199.9072,228.4501,240.0186,238.6074,216.897,223.0644,223.6392,235.0015,203.4991,212.8928,188.5244,192.9761,202.5124,225.2451,225.1502,211.446,210.6239,244.3972,215.7454,230.8688,235.2268,198.2622,213.6157,220.6519,210.3051,192.863,222.1274,198.805,170.0373,189.6046,219.3845,170.2581,227.6687,187.4385,194.8573,222.3875,197.7764,188.021,191.886,209.5944,220.6253,200.3712,212.4383,207.5417,221.422,172.2477,198.0872,223.3908,194.7708,177.1444,195.0003,166.3798,190.7747,225.3772,182.6902,228.6019,197.4658,205.4403,191.6127,192.7195,Environment_0
G78,184.3926,217.0141,214.7406,215.7797,208.4181,187.9234,243.3319,221.7454,170.4751,218.9575,202.6219,203.8931,216.2223,167.2094,194.7444,185.5148,190.2536,203.6642,198.5392,232.6493,186.1933,213.4874,205.0315,214.4766,187.4458,195.5247,209.6271,217.0365,213.016,212.1423,203.9889,176.4755,198.7915,189.0377,230.1564,191.7443,189.2719,216.2657,169.7418,199.095,196.3632,192.4513,199.7345,199.7384,246.0612,179.7575,228.2187,183.3567,217.8552,198.1477,207.2657,217.7629,214.7815,200.9965,230.0958,219.8462,181.1453,235.1022,206.4618,214.6618,Environment_0
G79,206.4296,171.9109,201.8308,199.2287,168.0725,208.3276,194.6112,185.5261,199.5783,187.7802,209.8902,213.5319,190.1006,200.8907,190.0406,199.7108,194.6434,179.1942,173.6029,222.5078,192.6638,211.7837,183.6445,198.5003,175.5392,189.0662,178.8942,225.1906,195.9181,187.9888,174.9507,172.2369,208.158,178.1407,183.2262,206.1739,203.6564,207.2262,182.6067,173.3127,175.7573,192.9424,175.447,184.8893,209.1055,204.8834,198.1038,199.481,170.3952,199.8351,163.4427,197.729,207.1212,172.4652,209.2351,187.8524,206.4705,195.9421,172.8158,231.8301,Environment_0
G80,219.4969,173.6225,197.2126,196.8608,232.0168,213.7994,203.5834,219.7521,207.3211,222.5437,194.8229,194.6629,228.0382,182.9652,195.266,218.986,200.9654,180.6438,216.8892,216.5155,164.6408,229.7012,194.896,181.0687,210.284,198.5808,230.2279,217.0923,182.1868,177.627,227.5271,220.1151,198.4659,194.2978,186.9849,202.645,171.896,215.0092,199.0037,178.9604,204.7129,206.7546,219.5738,201.0518,182.5436,186.5353,191.1909,221.073,212.8574,178.862,212.3923,215.4922,231.4497,208.9479,217.1945,180.8296,213.9935,204.6962,186.1294,214.9645,Environment_0
G81,196.8241,207.2667,175.3243,225.6441,202.2891,220.3931,183.183,215.5904,186.4864,213.1647,226.8394,184.793,208.9896,212.0238,198.6699,200.1488,215.2459,196.863,176.7714,207.2618,191.3448,205.9949,199.9768,188.323,192.1289,197.8545,185.87,212.5556,191.2557,174.4727,208.5055,196.1376,181.1863,215.3593,205.5788,207.4502,173.5747,200.4101,198.1311,192.6451,201.0159,188.2569,211.8664,224.3461,227.4878,216.1366,207.9665,213.0375,227.0188,195.1831,218.9475,193.8889,202.609,180.9307,230.0651,231.1002,199.1821,165.16,196.1767,200.3562,Environment_0
G82,216.1407,221.041,203.0703,192.3467,211.658,212.1012,205.1476,227.5816,218.7234,217.9951,178.524,207.1387,202.2355,187.0714,208.4133,186.009,220.9926,176.9679,226.3754,193.0964,202.6179,187.0585,204.9224,229.3313,188.6876,202.5759,228.4508,216.2018,225.5319,235.1833,195.2423,204.6216,198.5338,221.4905,178.4506,201.9936,196.168,220.8981,225.9077,204.0655,193.1299,214.2343,204.9595,222.6359,257.908,194.9564,178.5583,227.3321,207.7692,211.6521,210.2002,231.9879,208.6638,179.5863,192.5569,182.2072,231.8507,198.7104,187.2898,194.2778,Environment_0
